Source,Target,Weight
Drupal,Gephi,4971.0
Drupal,Google Books,3997.0
Drupal,Neatline,2270.0
Drupal,Palladio,1270.0
Drupal,Python,9425.0
Drupal,Scalar,1636.0
Drupal,Scholarly 3D toolkit,2.0
Drupal,Srophé App,2.0
Drupal,StoryMap.JS,2.0
Drupal,StoryMapJS,100.0
Drupal,TEI,94148.0
Drupal,Twitter,9724.0
Drupal,Voyant,4655.0
Drupal,Voyant Tools,180.0
Drupal,WordPress,2680.0
Drupal,Zotero,3510.0
Gephi,Drupal,4971.0
Gephi,Google Books,5756.0
Gephi,Neatline,3517.0
Gephi,Palladio,2219.0
Gephi,Python,11182.0
Gephi,Scalar,2754.0
Gephi,Scholarly 3D toolkit,2.0
Gephi,Srophé App,2.0
Gephi,StoryMap.JS,2.0
Gephi,StoryMapJS,305.0
Gephi,TEI,83620.0
Gephi,Twitter,10489.0
Gephi,Voyant,5461.0
Gephi,Voyant Tools,385.0
Gephi,WordPress,4481.0
Gephi,Zotero,5483.0
Google Books,Drupal,3997.0
Google Books,Gephi,5756.0
Google Books,Neatline,2799.0
Google Books,Palladio,1618.0
Google Books,Python,10799.0
Google Books,Scalar,2067.0
Google Books,Scholarly 3D toolkit,2.0
Google Books,Srophé App,2.0
Google Books,StoryMap.JS,2.0
Google Books,StoryMapJS,160.0
Google Books,TEI,102272.0
Google Books,Twitter,10934.0
Google Books,Voyant,5352.0
Google Books,Voyant Tools,240.0
Google Books,WordPress,3372.0
Google Books,Zotero,4336.0
Neatline,Drupal,2270.0
Neatline,Gephi,3517.0
Neatline,Google Books,2799.0
Neatline,Palladio,884.0
Neatline,Python,6703.0
Neatline,Scalar,1136.0
Neatline,Scholarly 3D toolkit,2.0
Neatline,Srophé App,2.0
Neatline,StoryMap.JS,2.0
Neatline,StoryMapJS,50.0
Neatline,TEI,65188.0
Neatline,Twitter,6842.0
Neatline,Voyant,3227.0
Neatline,Voyant Tools,130.0
Neatline,WordPress,1870.0
Neatline,Zotero,2436.0
Palladio,Drupal,1270.0
Palladio,Gephi,2219.0
Palladio,Google Books,1618.0
Palladio,Neatline,884.0
Palladio,Python,4254.0
Palladio,Scalar,536.0
Palladio,Scholarly 3D toolkit,2.0
Palladio,Srophé App,2.0
Palladio,StoryMap.JS,2.0
Palladio,StoryMapJS,80.0
Palladio,TEI,42818.0
Palladio,Twitter,4423.0
Palladio,Voyant,1906.0
Palladio,Voyant Tools,160.0
Palladio,WordPress,1005.0
Palladio,Zotero,1323.0
Python,Drupal,9425.0
Python,Gephi,11182.0
Python,Google Books,10799.0
Python,Neatline,6703.0
Python,Palladio,4254.0
Python,Scalar,5311.0
Python,Scholarly 3D toolkit,2.0
Python,Srophé App,2.0
Python,StoryMap.JS,2.0
Python,StoryMapJS,630.0
Python,TEI,146038.0
Python,Twitter,18727.0
Python,Voyant,10047.0
Python,Voyant Tools,710.0
Python,WordPress,8575.0
Python,Zotero,10451.0
Scalar,Drupal,1636.0
Scalar,Gephi,2754.0
Scalar,Google Books,2067.0
Scalar,Neatline,1136.0
Scalar,Palladio,536.0
Scalar,Python,5311.0
Scalar,Scholarly 3D toolkit,2.0
Scalar,Srophé App,2.0
Scalar,StoryMap.JS,2.0
Scalar,TEI,64200.0
Scalar,Twitter,5893.0
Scalar,Voyant,2847.0
Scalar,WordPress,1231.0
Scalar,Zotero,1751.0
Scholarly 3D toolkit,Drupal,2.0
Scholarly 3D toolkit,Gephi,2.0
Scholarly 3D toolkit,Google Books,2.0
Scholarly 3D toolkit,Neatline,2.0
Scholarly 3D toolkit,Palladio,2.0
Scholarly 3D toolkit,Python,2.0
Scholarly 3D toolkit,Scalar,2.0
Scholarly 3D toolkit,Srophé App,2.0
Scholarly 3D toolkit,StoryMap.JS,2.0
Scholarly 3D toolkit,TEI,2.0
Scholarly 3D toolkit,Twitter,2.0
Scholarly 3D toolkit,Voyant,4.0
Scholarly 3D toolkit,WordPress,2.0
Scholarly 3D toolkit,Zotero,2.0
Srophé App,Drupal,2.0
Srophé App,Gephi,2.0
Srophé App,Google Books,2.0
Srophé App,Neatline,2.0
Srophé App,Palladio,2.0
Srophé App,Python,2.0
Srophé App,Scalar,2.0
Srophé App,Scholarly 3D toolkit,2.0
Srophé App,StoryMap.JS,2.0
Srophé App,TEI,2.0
Srophé App,Twitter,2.0
Srophé App,Voyant,4.0
Srophé App,WordPress,2.0
Srophé App,Zotero,2.0
StoryMap.JS,Drupal,2.0
StoryMap.JS,Gephi,2.0
StoryMap.JS,Google Books,2.0
StoryMap.JS,Neatline,2.0
StoryMap.JS,Palladio,2.0
StoryMap.JS,Python,2.0
StoryMap.JS,Scalar,2.0
StoryMap.JS,Scholarly 3D toolkit,2.0
StoryMap.JS,Srophé App,2.0
StoryMap.JS,TEI,2.0
StoryMap.JS,Twitter,2.0
StoryMap.JS,Voyant,4.0
StoryMap.JS,WordPress,2.0
StoryMap.JS,Zotero,2.0
StoryMapJS,Drupal,100.0
StoryMapJS,Gephi,305.0
StoryMapJS,Google Books,160.0
StoryMapJS,Neatline,50.0
StoryMapJS,Palladio,80.0
StoryMapJS,Python,630.0
StoryMapJS,Twitter,415.0
StoryMapJS,Voyant Tools,90.0
StoryMapJS,WordPress,105.0
StoryMapJS,Zotero,75.0
TEI,Drupal,94148.0
TEI,Gephi,83620.0
TEI,Google Books,102272.0
TEI,Neatline,65188.0
TEI,Palladio,42818.0
TEI,Python,146038.0
TEI,Scalar,64200.0
TEI,Scholarly 3D toolkit,2.0
TEI,Srophé App,2.0
TEI,StoryMap.JS,2.0
TEI,Twitter,106446.0
TEI,Voyant,77006.0
TEI,WordPress,92978.0
TEI,Zotero,108238.0
Twitter,Drupal,9724.0
Twitter,Gephi,10489.0
Twitter,Google Books,10934.0
Twitter,Neatline,6842.0
Twitter,Palladio,4423.0
Twitter,Python,18727.0
Twitter,Scalar,5893.0
Twitter,Scholarly 3D toolkit,2.0
Twitter,Srophé App,2.0
Twitter,StoryMap.JS,2.0
Twitter,StoryMapJS,415.0
Twitter,TEI,106446.0
Twitter,Voyant,9385.0
Twitter,Voyant Tools,495.0
Twitter,WordPress,9144.0
Twitter,Zotero,10920.0
Voyant,Drupal,4655.0
Voyant,Gephi,5461.0
Voyant,Google Books,5352.0
Voyant,Neatline,3227.0
Voyant,Palladio,1906.0
Voyant,Python,10047.0
Voyant,Scalar,2847.0
Voyant,Scholarly 3D toolkit,4.0
Voyant,Srophé App,4.0
Voyant,StoryMap.JS,4.0
Voyant,TEI,77006.0
Voyant,Twitter,9385.0
Voyant,WordPress,4205.0
Voyant,Zotero,5219.0
Voyant Tools,Drupal,180.0
Voyant Tools,Gephi,385.0
Voyant Tools,Google Books,240.0
Voyant Tools,Neatline,130.0
Voyant Tools,Palladio,160.0
Voyant Tools,Python,710.0
Voyant Tools,StoryMapJS,90.0
Voyant Tools,Twitter,495.0
Voyant Tools,WordPress,185.0
Voyant Tools,Zotero,155.0
WordPress,Drupal,2680.0
WordPress,Gephi,4481.0
WordPress,Google Books,3372.0
WordPress,Neatline,1870.0
WordPress,Palladio,1005.0
WordPress,Python,8575.0
WordPress,Scalar,1231.0
WordPress,Scholarly 3D toolkit,2.0
WordPress,Srophé App,2.0
WordPress,StoryMap.JS,2.0
WordPress,StoryMapJS,105.0
WordPress,TEI,92978.0
WordPress,Twitter,9144.0
WordPress,Voyant,4205.0
WordPress,Voyant Tools,185.0
WordPress,Zotero,2840.0
Zotero,Drupal,3510.0
Zotero,Gephi,5483.0
Zotero,Google Books,4336.0
Zotero,Neatline,2436.0
Zotero,Palladio,1323.0
Zotero,Python,10451.0
Zotero,Scalar,1751.0
Zotero,Scholarly 3D toolkit,2.0
Zotero,Srophé App,2.0
Zotero,StoryMap.JS,2.0
Zotero,StoryMapJS,75.0
Zotero,TEI,108238.0
Zotero,Twitter,10920.0
Zotero,Voyant,5219.0
Zotero,Voyant Tools,155.0
Zotero,WordPress,2840.0
